,colon_norm1,colon_norm2,colon_norm3,colon_tum1,colon_tum2,colon_tum3,liver1,liver2,liver3,liver4,liver5,liver6,liver7,liver8,liver9,met1,met2,met3,met4,met5,met6,met7,met8,met9,M12_1,M18,M19,M2,M21,M28,M3,M34,M40,M5,MN12_1,MN15,MN18,MN19,MN2,MN21,MN28,MN3,MN34,MN40,MN5,P12,P15_1,P18,P19,P21,P28,P3,P34,P40,P5,PN10,PN13,PN14,PN15_1,PN15_2,PN16,PN18,PN2,PN21,PN22,PN27,PN28,PN29,PN30,PN31,PN32,PN34,PN37,PN4,PN5,PN6,D103,D106,D107_merged,D111_merged,D114_merged,D119_merged,D121,D128,D136_merged,D138_merged,D139_merged,D13_merged,D141,D144_merged,D145_merged,D146,D158,D15_merged,D15_single,D161_merged,D164_merged,D166,D168,D16_merged,D17,D170,D173_merged,D175,D18,D180_merged,D183,D186,D187_merged,D189_merged,D19,D192,D193_merged,D194,D199_merged,D206_merged,D209,D211_merged,D212_merged,D213_merged,D214_merged,D219_merged,D222_merged,D224,D230,D233,D242,D243,D246,D248,D252,D260,D263,D269,D274,D27_merged,D28_merged,D311,D312,D315,D35,D38,D3_merged,D43_merged,D44,D5,D50_merged,D53_merged,D54_merged,D56_merged,D57,D63_merged,D64_merged,D65_merged,D68,D73_merged,D75_merged,D77_merged,D78_merged,D81_merged,D83_merged,D86_merged,D8_merged,D97_merged,SRR1273998_control_Liver,SRR1273999_control_Liver,SRR1274000_control_Liver,SRR1274001_control_Liver
Hsa-Mir-154-P23_3p ,96.0686508894,69.910940424,83.418896865,104.3776737245,119.184035162,116.2302672325,262.5594046524,127.9947702928,188.6818453084,234.705821072,164.9976061823,175.9871481818,172.9379882703,115.4112010087,155.4761497434,380.4468598579,116.4313960002,183.5277270072,207.3014727589,104.7142975107,244.4509007463,163.689941489,91.6933202288,92.9264324478,134.7243315426,76.3803267288,71.7095923748,32.730660342,43.5884821631,112.9856899547,62.23210172,110.272984292,59.3673082658,35.0209038877,180.8191251022,263.0713857885,115.3147506968,136.3765225824,157.4611589589,177.7062482187,133.5950250849,178.0253649056,149.2127669214,108.350187807,205.1430450312,196.3398685723,229.7428675246,197.6401220428,58.0925226491,96.9541943003,143.304770626,45.0021268005,23.6942494057,58.4006007176,30.8117001066,193.9921025729,136.5258610356,58.1674015722,84.6180389928,55.1646357908,71.346713815,50.0837037219,83.724401758,50.1142386754,40.1951092329,58.9526086529,60.01547183,48.3174635696,71.0385616979,32.6022166963,82.9058896982,53.1662815617,45.2204878497,181.6379937065,61.172599385,131.3745886198,46.4212698443,46.6562451349,124.4896945327,135.8617108932,50.2060148508,212.6775249683,90.6613176489,87.3096852338,156.9133793314,115.2748624299,180.995246027,115.4963333233,70.8312165384,139.4296809642,81.0056019699,66.9730019343,86.8543465017,53.2661878428,53.2661878428,58.475151685,179.5898556,50.5344424828,99.8125887314,166.8195846192,52.4205004281,131.816770221,200.6186012045,44.1714858335,321.8007350828,289.1961900734,76.375823949,142.1450691963,141.8642883339,103.6756417482,27.5978783312,91.8751606392,68.6493103162,82.2732738434,126.9432599387,128.5331055671,78.2655211658,183.6812343379,149.5265445866,64.8866540528,163.6662796137,68.1858962857,140.802292163,67.3849312052,267.6312860467,74.8551783593,163.8637757815,105.0858444933,95.6477680464,119.8394691742,75.0634688437,112.1011679349,218.9768436298,122.2812795513,55.7888904629,106.2915446383,110.0800624756,78.4174532488,106.1350792947,74.4862538659,65.9612622699,159.6852894195,84.5853042794,149.5181856377,58.6120991227,88.3872578101,74.3576124979,284.9010539376,96.749953341,93.1856767303,43.9578707766,176.9024023346,210.0826306464,155.1230038747,71.3319317785,159.5101519192,249.6006020041,211.9791500739,169.5759229635,56.8035506006,83.9125295792,121.755097897,156.704600869,91.5201354777,84.5117406654,142.9245767694,100.851555565,136.1177154029
Hsa-Mir-154-P24_3p ,1.1574536252,1.4504344486,1.6762662491,2.3969820688,5.231360322,1.5073089411,2.3484741024,0,0,0.6128089323,0,0,1.8252030424,0,0.5379797569,4.5711363853,0,1.5074145955,0,0,2.4104787197,1.2703210537,1.8687497329,1.7533289141,1.2626460313,1.2783318281,0.9734333807,0.7567782738,0.8185630453,0.4659203709,0,0.1564155806,0.6823828536,0.5387831367,1.9287373344,0.4209142173,0.7321571473,0.5198596795,0,1.0477962749,0.1704018177,3.7088617689,0.3744360525,0.7081711621,0.7509812509,1.5490324937,2.7009880691,6.1762538138,0.3123253906,8.2514207915,0.6775639273,0.3600170144,2.9617811757,0.8984707803,0.5535035947,1.470565528,1.6330844621,0.3826802735,3.5521815469,0.4807375668,0.9555363457,0.5328053587,0.6077996498,0,0,1.0342562922,0.6609633461,0.2073710883,0.3010108547,0,0.3188688065,0.5737368514,0.4602594183,1.7720779874,0.5119045974,0.7854982877,2.2256773213,1.7189142944,4.9678986081,5.3279102311,0.8509494043,6.0765007134,0.6295924837,0.7399125867,2.831519627,2.0959065896,3.3752027231,6.6377203059,2.4424557427,2.9897202546,2.7526175427,3.78378542,1.5509704732,0.4514083715,0.4514083715,3.3828600148,3.6403349108,0,0.875549024,4.2126157732,0.323583336,1.1170912731,5.4368184608,3.4644302615,4.9183518462,10.4950230269,1.7900583738,2.0020432281,5.0177079475,1.8013142389,0.4677606497,7.5929884826,1.4503375419,1.8613862861,2.0859221117,1.036557303,1.4360646085,2.8114474644,6.7966611176,2.6757383115,1.6140658739,1.5380277358,1.4045116425,3.6099070288,3.541434787,0.4205347099,6.0023361092,2.2170009387,3.4467664161,0,2.0106286297,1.8377240645,5.1726813456,1.7468754222,0.5469499065,3.9205897612,4.1539646217,2.6264218791,3.5378359765,1.5201276299,0,7.5323249726,2.2964336003,5.3272512698,0.720640563,1.414196125,1.8314682881,4.662463415,2.2880056533,2.5988037335,0.7992340141,4.473394082,2.7825513993,1.7779140845,3.9193369109,2.373662975,5.5549095401,2.4506260124,1.9604152944,0,3.1966677935,1.4713606997,0.5479181849,1.7465674709,0.6689583694,0.7725652798,0.9367017545,0.3344415612
Hsa-Mir-154-P25_3p ,0.8680902189,1.5954778935,2.1692857341,3.9223342945,2.5019549366,3.0146178821,2.3484741024,3.1335819469,2.1200207338,0,1.8032525266,2.9727558814,2.7378045636,3.3092817494,7.5317165966,10.6659848991,3.6575307644,1.1305609467,3.9361039131,2.752490106,7.6568147566,5.8071819597,2.4916663106,3.1309444895,3.787938094,1.5979147851,0.6489555871,0.1891945685,1.227844568,0.6988805564,1.0917912582,3.5975583528,2.0471485609,0.3591887578,1.1250967784,4.6300563899,1.4643142946,0.6931462393,4.4775685012,1.8860332948,1.3632145417,1.8544308844,1.49774421,4.2490269728,3.2542520871,4.647097481,4.6075678826,5.4900033901,0.7808134765,4.1257103958,0.6775639273,0.900042536,8.8853435271,0.6738530852,0,4.1666023294,4.2460196016,0.3826802735,3.932772427,1.5623970921,1.9110726915,1.5984160762,1.367549212,0.5810346513,0.7242362024,1.3790083895,0.9253486846,0.4147421766,0.903032564,0.795176017,0.8503168174,0.3824912343,1.0355836912,3.3964828091,2.0476183895,2.5528694351,1.2718156122,1.2277959246,6.1368159277,9.3238429044,3.403797617,8.5071009987,5.0367398694,3.6995629336,3.5393995338,1.5719299422,6.7504054462,11.0628671766,4.0707595712,6.2512332596,3.9323107752,1.513514168,3.7223291358,1.8056334862,1.8056334862,1.9330628656,4.8537798811,3.8036677138,1.7510980479,10.1102778557,1.9415000159,3.3512738192,5.4368184608,0,9.8367036925,13.6046594793,4.7734889968,6.5781420352,6.8423290193,5.2037966901,0.9355212994,4.5557930895,5.3179043203,3.3504953149,5.9597774619,6.2193438178,4.3081938256,6.0914695061,6.7966611176,3.0102056004,3.8737580974,1.0253518238,6.671430302,2.8077054669,13.1539006375,2.9437429692,13.2051394403,2.2170009387,3.8776122181,5.4062918424,3.3510477162,2.6544903154,5.1726813456,2.3291672295,2.7347495325,3.4849686767,4.6732101994,3.0016250047,5.8963932941,3.0402552598,1.7589669939,3.5150849872,2.2964336003,9.2339022009,1.681494647,4.9496864374,3.6629365763,12.7604261884,4.5760113067,5.197607467,0.7992340141,5.2867384606,10.2954401774,8.0006133804,4.7032042931,7.120988925,8.1472006589,7.760315706,2.450519118,2.84017753,4.3954182161,6.9889633234,8.7666909577,3.8424484361,2.2298612313,1.9314131996,1.5611695908,1.3377662447
Hsa-Mir-154-P26_3p ,3.1829974692,1.4504344486,3.7469480861,5.2297790593,6.3686125659,3.5170541958,15.9696238966,6.7492534241,4.2400414676,8.5793250522,8.1146363696,5.3509605866,9.1260152122,4.5502624054,7.5317165966,22.5349004258,6.4006788377,9.0444875733,11.1522944206,5.2656332463,14.0374937203,8.1663496308,2.9899995727,4.1328467261,6.692023966,1.2783318281,1.6223889678,1.3243619792,1.4324853293,5.1251240804,4.367165033,2.9718960306,1.0235742804,1.975538168,10.2865991169,10.5228554315,4.5759821705,6.931462393,5.9700913349,3.9816258445,2.8968309011,3.7088617689,4.1187965775,3.5408558107,3.5045791708,5.4216137278,6.5141476961,15.0975093227,1.8739523435,0,6.6062482913,1.4400680576,0,1.1230884753,0.9225059912,5.1469793481,3.5927858167,1.7220612308,1.6492271468,3.0046097925,0.9555363457,0.8880089312,1.8233989494,0.871551977,1.4484724048,1.3790083895,0.9253486846,1.6589687063,1.0033695155,1.4313168306,1.1691856239,1.1474737028,1.6109079641,5.1685607965,1.2797614934,4.7129897263,0.9538617091,1.7189142944,3.7989812886,3.9959326733,1.7018988085,8.5071009987,1.888777451,0.7399125867,3.7753595027,2.619883237,8.4380068078,3.0976028094,4.8849114854,4.6204767571,4.7187729303,4.540542504,2.7917468518,1.3542251146,1.3542251146,1.4497971492,3.6403349108,3.8036677138,1.3133235359,4.6338773505,1.2943333439,4.4683650922,7.0678639991,2.5983226961,14.0524338464,7.3853865745,1.7900583738,5.7201235089,6.3861737514,5.6040887431,0.9355212994,3.4168448172,2.4172292365,4.0950498293,7.4497218274,5.1827865148,2.513113065,4.2171711965,4.0779966705,2.0068037336,4.5193844469,2.0507036477,5.2669186595,4.4121085908,8.6006273399,3.784812389,7.803036942,6.651002816,4.3084580201,0.9010486404,1.5638222676,2.24610719,8.621135576,4.6583344591,3.281699439,3.4849686767,5.1924557772,3.9396328187,5.3067539647,1.5201276299,0,3.012929989,2.6791725337,3.5515008465,1.201067605,2.8283922499,4.0292302339,13.4966046224,2.9417215543,5.9401228195,0.7992340141,9.3534603533,7.791143918,6.4449385564,4.7032042931,4.272593355,13.3317828964,11.0278170559,5.3911420595,0.9467258433,3.1966677935,4.0462419241,5.4791818486,3.8424484361,4.6827085857,6.3736635586,4.3712748542,6.0199481014
Hsa-Mir-154-P27_3p ,14.4681703147,14.2142575966,15.0863962415,42.0561399349,25.0195493661,34.1656693306,23.4847410244,13.4985068482,12.7201244028,11.0305607815,19.8357777924,13.0801258784,25.0965418334,29.3698755255,22.0571700328,63.6751278936,21.3355961257,8.6676339244,22.3045888411,21.7805738822,45.0901313441,26.8582165636,19.4349972224,17.6585269207,21.7175117388,21.7316410777,24.3358345163,7.9461718749,8.5949119758,23.7619389183,24.0194076814,12.9824931861,10.5769342313,10.5960683558,110.4202123958,34.5149658155,15.9244179534,17.6752291022,31.3429795084,21.1654847525,24.1970581149,50.0696338797,12.730825785,14.8715944049,18.1487135629,30.5933917499,45.5990338725,63.8212894096,15.1477814434,37.1313935618,18.8023989828,9.1804338673,7.8980831352,6.2892954619,14.0220910665,23.7741427032,34.2947737051,11.0977279315,24.6115435751,15.8643397045,33.762284216,26.8178697234,10.6364938713,14.5258662827,10.1393068335,14.8243401876,12.8226889152,8.5022146195,9.7326843004,2.7035984577,16.6874675418,6.5023509824,15.7638850774,20.0835505236,19.9642792972,17.6737114735,20.9849576008,18.1713796841,30.3918503084,43.4224683835,14.0406651701,61.1701071814,25.8132918306,39.2153670965,45.5402740014,51.8736880935,67.0821541219,44.2514687062,27.681165084,37.779192308,39.7163388299,38.5946112842,20.1626161522,14.8964762611,14.8964762611,17.3975657906,54.6050236622,11.4110031413,24.9531471829,32.0158798764,16.1791667988,24.5760080073,44.0382295327,19.054366438,108.9063623097,85.5150024411,28.6409339809,35.7507719307,26.0008502734,27.4200056361,7.9519310446,27.7144079614,22.721954823,14.8910902884,34.268720406,38.3526202096,23.695066041,29.9887729531,50.29529227,26.0884485367,39.0603941484,30.7605547153,38.2729422588,25.2693492019,96.6305777598,18.082992525,72.6282669215,39.0192165207,32.7442809528,25.2293619314,20.1062862974,22.6652634622,67.2448574926,32.0260494063,16.9554471015,49.2251825579,38.9434183286,26.639421917,32.4301631178,34.9629354881,29.9024388957,46.7004148302,33.298287205,50.786462105,10.8096084448,32.5265108741,18.6809765389,58.1580962818,26.1486360381,24.8742643065,11.9885102118,45.1406130095,60.1031102247,29.1133431341,40.7611038734,39.8775379798,62.955641455,40.4353292048,41.1687211819,13.2541618068,21.9770910803,38.991058541,34.518845646,22.006750134,33.6709045923,20.4729799156,40.2781754424,23.4109092831
Hsa-Mir-154-P28a-b_5p ,2.0255438441,3.0459123421,2.5637013221,3.0507044512,2.2745044878,4.8568843656,3.2878637434,1.4462685909,7.4200725683,0.6128089323,0,1.7836535289,0.9126015212,1.240980656,1.0759595138,8.5007097692,2.7431480733,2.6379755422,6.5601731886,2.1541226916,3.9702002441,2.1776932349,1.7441664174,1.6280911345,4.4192611096,1.5979147851,2.2713445549,1.3243619792,1.0232038066,1.3977611128,5.4589562912,1.5641558056,2.0471485609,0.8979718946,2.8931060016,5.0509706071,1.4643142946,2.7725849572,2.9850456675,2.3051518047,0.8520090886,0,0.9360901313,0,2.002616669,4.2598393576,10.6450706253,4.8037529663,2.3424404294,2.0628551979,1.6939098183,1.800085072,0.9872603919,1.7969415605,0,6.6175448761,6.2057209562,3.061442188,2.1566816535,2.2835034423,0,0.5328053587,2.4311985991,1.5978452911,1.0863543036,2.2983473159,3.5692020692,1.6589687063,1.4047173217,2.3855280509,2.976108861,0.9562280856,0.8054539821,4.1348486372,1.7916660908,4.7129897263,4.1334007396,7.8578939174,5.8445865978,11.7214025084,1.7018988085,10.5326012365,1.2591849673,1.4798251735,7.5507190054,4.7157898267,10.5475085097,6.1952056189,9.7698229708,6.2512332596,3.5390796977,12.8648704281,3.1019409465,4.5140837155,4.5140837155,2.416328582,3.6403349108,1.6301433059,6.5666176797,5.0551389279,3.8830000317,4.4683650922,8.1552276912,2.5983226961,6.3235952309,10.8837275834,4.7734889968,4.2900926317,4.5615526795,3.8027745043,0.9355212994,6.0743907861,1.9337833892,2.6059408005,7.7477107005,5.1827865148,3.5901615214,8.9029169705,4.0779966705,4.0136074672,7.1018898452,6.1521109431,5.6180465701,2.8077054669,12.1420621269,2.9437429692,7.2028033311,3.1038013141,4.7393038221,6.3073404829,3.5744508973,5.3089806308,6.8969084608,5.8229180739,3.281699439,6.5343162687,4.6732101994,5.0652421955,1.1792786588,5.3204467047,1.7589669939,4.5193949836,4.5928672007,12.0751028781,2.161921689,4.2425883749,2.930349261,8.8341412074,3.5954374552,5.197607467,3.9961700706,5.6934106498,14.7475224162,6.2226992958,3.9193369109,8.070454115,4.4439276321,6.9434403685,11.2723879427,6.6270809034,7.9916694837,4.7819222739,3.835427294,4.8903889187,2.2298612313,1.1588479198,2.4978713453,2.3410909283
Hsa-Mir-154-P29_5p ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5379797569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1201843917,0,0,0,0,0,0,0,0,0,0,0.1062896022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2338803248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7838673822,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsa-Mir-154-P29_3p ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1913401368,0,0.1201843917,0,0.1776017862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3228131748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsa-Mir-154-P2_3p ,8.1021753762,5.6566943497,5.3246104382,14.381892413,10.6901710928,11.2210776723,3.2878637434,5.0619400681,3.1800311007,7.3537071876,4.5081313165,8.3237164681,2.7378045636,7.0322237174,6.9937368397,15.958879661,7.0102672984,5.2759510844,4.592121232,3.8295514518,10.4926720738,12.8846849731,4.9833326211,6.7628400973,8.2071992036,7.3504080116,5.5161224904,1.7027511161,3.8881744653,4.6592037095,7.6425388077,5.0052985778,4.4354885486,3.7714819571,25.2343134587,9.2601127798,5.8572571783,6.7581758332,1.4925228337,3.7720665895,4.6008490782,16.6898779599,4.49323263,2.1245134864,7.384648967,12.7795180728,16.0470467635,45.9787783919,6.5588332023,33.0056831661,7.1144212368,2.5201191008,3.9490415676,1.3477061704,1.1070071895,12.0096184789,15.0243770518,10.1410272478,15.4773624545,4.3266381012,10.8294119183,12.4321250373,4.4065474609,3.7767252335,5.431771518,4.9414467292,8.7247161691,3.7326795891,4.013478062,2.5445632543,9.1409057872,1.9124561713,4.4875293286,14.9149897271,8.7023781552,8.4441065929,5.0872624487,2.946710219,12.2736318553,12.7869845547,4.2547470213,23.900902806,3.777554902,9.6188636275,15.1014380108,15.7192994223,22.3607180406,15.0454993601,13.840582542,13.8614302713,6.6849283179,14.0000060541,9.3058228395,0.9028167431,0.9028167431,9.6653143281,12.1344497027,2.7169055098,9.6310392636,10.1102778557,2.9122500238,13.4050952767,11.9610006138,0.8661075654,24.5917592312,21.3787506103,7.7569196198,12.2982655441,15.5092791105,7.6055490086,1.8710425987,17.4638735099,10.1523627932,6.3287133726,10.4296105583,9.3290157266,9.3344199556,15.462961054,22.6555370586,8.6961495122,8.0703293695,5.1267591192,8.0759419445,7.2198140577,19.7308509562,2.5232082593,21.6084099932,8.424603567,14.6487572684,12.6146809657,5.361676346,8.3718540716,37.9329965343,11.6458361477,6.0164489715,11.7617692837,9.8656659766,7.316460949,10.6135079295,8.3607019645,1.7589669939,17.0732699379,8.4202565346,14.9163035553,2.4021352099,12.0206670622,6.5932858373,15.2143543016,6.5371590095,9.6526995816,3.9961700706,18.3002485174,13.9127569964,9.1118096832,26.6514909941,9.9693844949,18.8866924365,15.1121937432,14.7031147078,0.9467258433,7.5920860095,5.8854427986,11.506281882,5.9383294012,7.1355559401,6.5668048786,8.1180818721,7.3577143461
Hsa-Mir-154-P30_3p ,0,0.7252172243,0,1.9611671472,0.4549008976,2.177224026,0,0,0,0,0,0,1.8252030424,0,0,3.2078150072,0.6095884607,0,1.3120346377,0.957387863,1.1343429269,0.725897745,0.7474998932,0.3757133387,0,0,0,0.3783891369,0,0.9318407419,0,0.6256623222,0.6823828536,0.5387831367,0.6429124448,0.4209142173,0.1830392868,0.3465731197,0,0,0.1704018177,0,0.3744360525,0,0.5006541673,2.3235487405,0.7944082556,2.0587512713,0,0,0.8469549091,0.7200340288,0,0.2246176951,0.1845011982,0.4901885093,0.9798506773,0,0.5074545067,0.4807375668,0.3185121152,0,0.7597495622,0.5810346513,0.3621181012,0.2298347316,0.3965780077,0.2073710883,0.2006739031,0.3180704068,0.1062896022,0,0,0,0.2559522987,0,0.9538617091,0.7366775548,0.5844586598,0.5327910231,0,3.2408003805,0.6295924837,2.2197377602,1.6517197824,2.0959065896,2.5314020423,0.4425146871,1.6283038285,0.5435855008,1.5729243101,0.378378542,0.9305822839,0,0,0,2.4268899405,0,0.437774512,1.263784732,1.2943333439,0,1.0873636922,0.8661075654,2.107865077,4.2757501221,1.1933722492,1.1440247018,0.9123105359,1.2008761592,0.2338803248,1.8982471206,0.9668916946,0,0.2979888731,1.036557303,1.0770484564,2.342872887,1.8124429647,0,0.3228131748,0,0.7022558213,0,2.5295962764,0.8410694198,1.2004672218,2.2170009387,3.4467664161,0,0.8936127243,1.0209578136,3.4484542304,1.1645836148,0.5469499065,0.4356210846,0.5192455777,1.3132109396,0,0,0,0.5021549982,0,2.1309005079,0.480427042,0,1.0988809729,0.7361784339,1.3074318019,0.7425153524,0,2.0333609464,1.6695308396,0.8889570423,3.1354695287,1.89893038,3.3329457241,2.8590636812,1.9604152944,0,1.5983338967,1.4713606997,1.6437545546,1.0479404826,0,0.5794239599,0.6244678363,0.3344415612
Hsa-Mir-154-P3a_3p ,8.3915387825,4.7864336805,5.1274026442,8.0625760497,10.6901710928,5.1918419081,10.3332860507,1.2052238257,4.2400414676,4.9024714584,1.8032525266,7.7291652918,5.9319098879,6.20490328,1.6139392707,6.7364115152,2.7431480733,10.1750485199,9.8402597829,2.2737961745,4.5373717076,7.6219263221,1.4949997863,3.1309444895,4.2929965065,3.1958295702,0.8111944839,1.1351674107,1.4324853293,2.3296018547,1.0917912582,2.3462337083,1.3647657073,1.0775662735,5.4647557809,4.2091421726,1.4643142946,2.7725849572,1.4925228337,1.4669147848,2.0448218125,0,2.8082703938,2.8326846485,2.2529437526,3.8725812342,4.7664495337,8.9212555089,0.7808134765,6.1885655936,2.3714737456,1.2600595504,7.8980831352,2.2461769507,0.1845011982,7.9655632768,6.2057209562,0.9567006838,6.2163177071,2.6440566174,1.9110726915,1.0656107175,3.0389982489,2.6146559309,0.7242362024,3.907190437,2.2472753769,1.0368554414,1.8060651279,1.1132464238,1.806923237,0.7649824685,0.8054539821,3.839502306,2.3035706881,3.7311168666,0.317953903,2.4555918492,3.5067519587,3.9959326733,0.4254747021,8.9122010463,2.5183699347,8.139038454,3.3034395649,5.7637431215,6.3285051058,8.4077790542,0.8141519142,1.6307565025,2.3593864651,3.027028336,1.2407763786,0.9028167431,0.9028167431,1.4497971492,3.6403349108,2.1735244079,3.0644215839,2.1063078866,2.5886666878,5.5854563653,5.4368184608,1.7322151307,7.0262169232,5.0531592352,1.1933722492,4.2900926317,4.1053974116,2.601898345,0.9355212994,3.7964942413,4.3510126257,1.1168317716,5.3637997157,5.1827865148,1.7950807607,6.5600440835,6.3435503764,1.6723364447,2.5825053982,4.6140832073,4.2135349276,1.6044031239,6.0710310634,0,7.2028033311,2.2170009387,3.8776122181,4.505243202,1.3404190865,1.0209578136,10.3453626912,2.3291672295,0.5469499065,6.0986951842,5.7117013549,2.6264218791,2.9481966471,4.5603828897,3.5179339877,9.0387899671,0.3827389334,2.8412006772,1.681494647,2.8283922499,1.8314682881,4.4170706037,4.2491533562,2.5988037335,0,4.0667218927,4.7303373788,2.0001533451,6.2709390574,4.272593355,7.0362187509,8.9856287122,6.3713497067,0,2.3975008451,5.8854427986,3.835427294,1.3972539768,1.783888985,4.2491090391,2.1856374271,2.6755324895
Hsa-Mir-154-P3b_3p ,5.4979047196,3.4810426767,2.9581169101,4.1402417553,6.1411621171,4.0194905095,8.9242015893,1.2052238257,5.3000518345,7.9665161199,1.8032525266,3.5673070577,1.8252030424,0.8273204373,0,7.6185606422,0.9143826911,9.0444875733,3.2800865943,2.0344492088,1.5597215245,1.6332699262,2.6162496261,1.6280911345,2.6515566658,1.5979147851,0.9734333807,0.1891945685,0.2046407613,0.9318407419,4.367165033,0.7820779028,1.3647657073,1.2571606524,4.01820278,0.8418284345,0.7321571473,1.039719359,0.7462614169,1.8860332948,2.2152236302,3.7088617689,0.1872180263,1.4163423243,1.1264718763,3.0980649873,1.271053209,4.8037529663,1.4054642576,6.1885655936,2.0326917819,1.2600595504,0.9872603919,1.7969415605,0.738004793,2.9411310561,1.9597013546,0.9567006838,0.5074545067,0.3605531751,2.2295848067,0.5328053587,1.6714490369,1.3073279654,1.0863543036,1.2640910237,1.9828900384,0.8294843531,0.8026956124,0.4771056102,0.7440272152,0.3824912343,1.0355836912,0.7383658281,1.7916660908,1.7673711474,0.317953903,3.9289469587,2.0456053092,1.5983730693,0.8509494043,3.2408003805,1.2591849673,2.9596503469,1.4157598135,0.5239766474,4.2190034039,3.9826321836,1.6283038285,1.3589637521,2.7526175427,1.135135626,0.3101940946,0,0,2.416328582,3.6403349108,3.2602866118,2.1888725599,1.6850463093,1.2943333439,4.4683650922,2.7184092304,0,4.2157301539,5.4418637917,1.7900583738,2.8600617545,1.3684658039,2.601898345,0.4677606497,1.1389482724,1.9337833892,1.4891090288,1.1919554924,3.1096719089,1.0770484564,3.7485966191,4.9842181529,0.6689345779,1.9368790487,2.0507036477,2.809023285,2.0055039049,3.541434787,1.6821388395,1.8007008328,1.7736007509,3.4467664161,0.9010486404,1.5638222676,1.0209578136,12.0695898064,4.0760426517,1.6408497195,1.7424843383,1.5577367331,1.1256093768,2.9481966471,2.2801914449,1.7589669939,2.5107749909,1.5309557336,2.4860505926,0.480427042,2.1212941874,1.8314682881,3.1901065471,1.3074318019,2.5988037335,0.7992340141,3.6600497035,2.7825513993,1.555674824,0,2.373662975,4.0736003294,2.4506260124,2.9406229416,0.9467258433,2.3975008451,1.8392008746,2.1916727394,2.7945079535,1.5609028619,0,1.2489356726,0.3344415612
Hsa-Mir-154-P4a-b_3p ,0.2893634063,2.0306082281,2.1692857341,1.5253522256,2.7294053854,2.177224026,1.8787792819,0.7231342954,8.4800829352,0,1.8032525266,0.5945511763,0.9126015212,1.240980656,2.1519190276,5.0523086364,2.1335596126,3.0148291911,3.2800865943,0.3590204486,4.2537859759,1.8147443624,0.9966665242,1.1271400162,0.8838522219,0.319582957,0.4867166903,0,0.4092815227,0.9318407419,1.0917912582,1.0949090639,1.0235742804,0.5387831367,1.607281112,1.683656869,0.5491178605,0.3465731197,0.7462614169,0.6286777649,0.3408036354,1.8544308844,0.3744360525,0.7081711621,1.1264718763,1.9362906171,0.9532899067,5.4900033901,1.0931388671,0,1.3551278546,1.0800510432,0,0.4492353901,0.1845011982,1.3480184007,0.3266168924,0.3826802735,1.3954998934,0.3605531751,0.9555363457,0.710407145,1.0636493871,1.0168106398,0.3621181012,0.4596694632,0.5287706769,0.2073710883,0.5016847578,0.3180704068,0.1062896022,0.7649824685,0.1150648546,1.3290584905,0.2559522987,0.5891237158,0.317953903,0.7366775548,2.630063969,3.1967461387,1.2764241064,6.8867008085,0.6295924837,0.7399125867,1.8876797514,0.5239766474,3.3752027231,5.3101762447,0.8141519142,3.8050985058,2.3593864651,1.513514168,0.9305822839,0.4514083715,0.4514083715,0,3.6403349108,2.7169055098,1.7510980479,6.3189236598,0.647166672,1.1170912731,3.8057729226,0,5.6209735386,3.1096364524,1.7900583738,2.2880494036,6.3861737514,3.0021903981,0.2338803248,1.1389482724,3.3841209311,0.3722772572,1.4899443655,0,0.7180323043,5.6228949287,2.718664447,1.0034018668,4.5193844469,1.0253518238,1.7556395532,0.802201562,4.0473540423,0.8410694198,2.4009344437,2.6604011264,3.0159206141,0,0.4468063622,1.4293409391,5.1726813456,1.1645836148,1.093899813,2.1781054229,3.634719044,0.3752031256,1.1792786588,0,1.7589669939,3.5150849872,1.913694667,1.065450254,0.480427042,0.7070980625,1.8314682881,5.1532490376,3.5954374552,0.3712576762,0,2.4400331356,2.7825513993,4.0003066902,6.2709390574,3.323128165,4.4439276321,7.760315706,4.9010382359,0.9467258433,3.1966677935,3.6784017492,1.6437545546,1.0479404826,1.1149306156,0.3862826399,1.2489356726,0
